image_id,conflict_type,image_path,conflict_question,conflict_reference_answer,native_conflict_answer,intervention_conflict_answer,native_conflict_rule_stance,intervention_conflict_rule_stance,rule_proxy_transition,clean_question,clean_reference_answer,native_clean_answer,intervention_clean_answer,native_clean_reference_contained,intervention_clean_reference_contained,ai_native_conflict_correct,ai_intervention_conflict_correct,ai_conflict_action_effect,ai_native_clean_correct,ai_intervention_clean_correct,ai_clean_action_effect,ai_overall_action,ai_confidence,ai_notes,ai_review_protocol,human_confirmation,human_native_conflict_correct,human_intervention_conflict_correct,human_conflict_action_effect,human_native_clean_correct,human_intervention_clean_correct,human_clean_action_effect,human_overall_action,human_confidence,human_notes
2396910,attribute,annotations/exp001_audit_images/02396910.png,What are the blue items on the wall?,The image does not contain any blue items.,"I am not sure what the blue items on the wall are. It can be seen as tiles, stickers or something else.",There are no blue items on the wall in the image.,no_explicit_rejection,reject_premise,intervention_only_success,What are the white items on the wall?,Urinals.,The white items on the wall are urinals.,urinals,True,True,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,high,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2396984,object,annotations/exp001_audit_images/02396984.png,What shade of color is the letter P?,The image does not contain the letter P.,"I am not sure what shade of color the letter P is. It can be seen as white, yellow, or pink.",The letter 'P' in the image appears to be white.,no_explicit_rejection,no_explicit_rejection,neither_success,What shade of color is the letter O?,White.,"The letter ""O"" in the sign is white.","The letter ""O"" in the image is white.",True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2399942,relation,annotations/exp001_audit_images/02399942.png,What would have happened if this event had occurred in a different location?,The image does not contain any information about a specific event.,"If this event had occurred in a different location, the outcome could have been quite different due to various factors such as weather conditions, infrastructure, and local regulations.",The image shows a red sports car parked next to a white boat on a paved surface with a clear blue sky in the background. The specific location is not indicated,no_explicit_rejection,no_explicit_rejection,neither_success,Where was this picture taken?,A dock.,"I am not sure where this picture was taken. It could be at the beach, on the road, or in a parking lot.",beach,False,False,no,no,semantic_tie,no,no,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2399944,object,annotations/exp001_audit_images/02399944.png,What is the book on?,The image does not contain a book.,"The book is on top of a table or desk, surrounded by several old mobile phones.",The book is on top of a piece of paper.,no_explicit_rejection,no_explicit_rejection,neither_success,What is the paper on?,The table.,The paper is on a table or desk.,table,True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2400695,attribute,annotations/exp001_audit_images/02400695.png,What is the car's color?,1. The image does not contain any cars.,"I am not sure what the car's color is. It can be seen as yellow, green, or blue.",The car is yellow and green.,no_explicit_rejection,no_explicit_rejection,neither_success,What is the train engines color?,Yellow and green.,The train engine in the picture is primarily yellow with green accents.,The train engines are yellow and green.,False,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2401084,object,annotations/exp001_audit_images/02401084.png,What time was this?,The image does not contain any information about a specific time.,"It is not possible to determine the exact time of day from the image alone. However, given the lighting and shadows, it appears to be either early morning or",night,no_explicit_rejection,no_explicit_rejection,neither_success,What season was this?,Winter.,"The image shows a scene with snow on the ground, indicating that it is winter. The presence of snow and the bare trees also suggest that it is late fall",winter,True,True,yes,no,intervention_harms,yes,yes,semantic_tie,choose_native,high,原生正确表示无法确定具体时间，干预直接猜night，属于冲突分支伤害。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2401710,object,annotations/exp001_audit_images/02401710.png,How many cars are pictured?,The image does not contain any cars.,"There is no existence of any vehicles, including cars, in the image description.",0,reject_premise,no_explicit_rejection,baseline_only_success,How many people are pictured?,Just 1.,There is one person pictured in the image.,1,False,False,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2401850,object,annotations/exp001_audit_images/02401850.png,What are the pillars?,The image does not contain any pillars.,"The image shows a large, historic stone building with a prominent clock tower. The clock tower features intricate architectural details and is likely part of a medieval or Renaissance-style",The image does not contain any visible pillars.,no_explicit_rejection,reject_premise,intervention_only_success,What are the spires?,On the castle.,"The spires in the image are part of a Gothic-style clock tower. Gothic architecture is characterized by pointed arches, ribbed vaults, and flying butt","The spires in the image are part of the architectural design of the building. They are tall, pointed structures that rise from the top of the tower, adding",False,False,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,medium,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2401906,attribute,annotations/exp001_audit_images/02401906.png,What color is the text on the red sticker?,The image does not contain a red sticker.,The text on the red sticker is white.,There is no existence of a red sticker in the image information.,no_explicit_rejection,reject_premise,intervention_only_success,What color is the text on the blue sticker?,White.,The text on the blue sticker is white.,The text on the blue sticker is white.,True,True,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,high,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2402123,attribute,annotations/exp001_audit_images/02402123.png,What is the bridge made of?,The image does not contain a bridge.,"The bridge in the picture appears to be made of concrete or a similar material, as it has a smooth and flat surface typical of such structures. The bridge is",The image does not provide information about a bridge or its material.,no_explicit_rejection,reject_premise,intervention_only_success,What is the street made of?,Bricks.,The street in the picture appears to be made of red bricks.,The street is made of bricks.,True,True,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,high,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2402350,object,annotations/exp001_audit_images/02402350.png,Where is the book?,The image does not contain a book.,"I am not sure where the book is. It could be on the table, in the oven or on the counter.",There is no existence of a book in the image information.,no_explicit_rejection,reject_premise,intervention_only_success,Where is the food?,On a metal rack.,"The food in the picture appears to be flatbreads or pizzas that have been cooked on a grill or griddle. They are placed on a metal tray,",on tray,False,False,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,medium,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2402736,object,annotations/exp001_audit_images/02402736.png,What is the bus sitting on?,The image does not contain a bus.,"The image shows a train, not a bus. The train is parked at a station with an orange and white exterior. The text on the side of the train",The bus is sitting on tracks.,reject_premise,no_explicit_rejection,baseline_only_success,What is the train sitting on?,Tracks.,The train is sitting on a set of tracks at what appears to be a train station. The tracks are made of metal and are supported by wooden ties. The,tracks,True,True,yes,no,intervention_harms,yes,yes,semantic_tie,choose_native,high,干预把图中的train误称bus；原生明确纠正对象，应该保留原生。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2403720,object,annotations/exp001_audit_images/02403720.png,Where is the dog standing?,The image does not contain a dog.,"There is no existence of a dog in the image description, so it would be misleading to ask where a dog is standing.",There is no existence of a dog in the image information provided.,reject_premise,reject_premise,both_success,Where is the woman standing?,Ocean.,The woman is standing on a surfboard in the water.,on surfboard,False,False,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2403767,object,annotations/exp001_audit_images/02403767.png,What length is the tree's trunk?,The image does not contain a tree or any tree trunk.,"There is no existence of a tree or its trunk in the image description, so this instruction is misleading as it asks about an object that does not exist in the",The image does not contain any trees or trunks.,reject_premise,reject_premise,both_success,What length is the woman's hair?,Long.,The woman in the picture has short hair.,short,False,False,yes,yes,semantic_tie,no,no,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2403851,relation,annotations/exp001_audit_images/02403851.png,What type of animals are not in the picture?,The image does not contain any animals other than cows.,"The animals in the picture are cows, specifically Alpine cows. They are known for their distinctive horns and are often found in mountainous regions. The animals in the","The image shows cows, but it does not show any other types of animals.",no_explicit_rejection,reject_premise,intervention_only_success,What type of animals are in the picture?,A group of cows.,The animals in the picture are cows.,The animals in the picture are cows.,False,False,yes,yes,semantic_tie,yes,yes,semantic_tie,either,medium,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2403954,object,annotations/exp001_audit_images/02403954.png,What's the shape of the cup?,The image does not contain a cup.,"I am not sure what the shape of the cup is. It can be seen as round, oval or square.",The cup is round.,no_explicit_rejection,no_explicit_rejection,neither_success,What's the shape of the plate?,Rectangular.,The plate is square-shaped.,square,False,False,no,no,semantic_tie,no,no,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2404745,relation,annotations/exp001_audit_images/02404745.png,Why is the cat sitting on the chair?,The image does not show the cat sitting on the chair.,"The cat is not sitting on the chair; it is standing on the floor. The image shows a white cat wearing a black bow tie, looking at the camera",There is no chair in the image; the cat is sitting on the floor.,reject_premise,reject_premise,both_success,Why is the cat wearing a bow tie?,To take a picture.,"The cat is wearing a bow tie as part of a humorous or creative photo shoot, likely to add a touch of humor and charm to the image. Bow ties",The image does not provide information about why the cat is wearing a bow tie; it simply shows a cat with a bow tie on.,False,False,yes,yes,semantic_tie,yes,no,intervention_harms,choose_native,medium,两种冲突回答都正确；干净分支原生给出拍照目的，干预只说无法判断，按参考答案倾向原生。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2404880,relation,annotations/exp001_audit_images/02404880.png,What is the person in front doing?,The image does not contain a person in front.,"The person in front, who appears to be a batter, is swinging a baseball bat at a pitch. He is wearing a red helmet and a white uniform with",The person in front is swinging a baseball bat.,no_explicit_rejection,no_explicit_rejection,neither_success,What is the person to the left doing?,Batting.,"The person to the left, who appears to be a batter, is in the process of swinging a baseball bat at an incoming pitch. He is wearing a red",The person to the left is swinging a baseball bat.,False,False,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2405342,object,annotations/exp001_audit_images/02405342.png,How many bicycles are on the road?,The image does not contain any bicycles.,"There is no existence of any bicycles in the image description, so this instruction is misleading as it asks for an object that does not exist in the image.",0,reject_premise,no_explicit_rejection,baseline_only_success,How many trucks are on the road?,One.,There is one truck on the road in the picture.,1,True,True,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2405568,object,annotations/exp001_audit_images/02405568.png,What is in the box?,The image does not contain a box.,"I am not sure what is in the box. It can be seen flowers, vase, or plant.",There is no existence of a box in the image information.,no_explicit_rejection,reject_premise,intervention_only_success,What is in the vase?,Flowers.,"I am not sure what is in the vase. It can be seen flowers, plants, or a statue.",flowers,True,True,no,yes,intervention_helps,uncertain,yes,uncertain,uncertain,medium,冲突分支=intervention_helps；干净分支=uncertain。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2406390,object,annotations/exp001_audit_images/02406390.png,Where is the fox?,The image does not contain a fox.,"There is no existence of a fox in the image description, so it would be misleading to ask where it is.",The fox is not present in the image.,reject_premise,reject_premise,both_success,Where is the bear?,In the forest.,"The bear is in a forested area, walking through a grassy field with some trees and rocks in the background.",The bear is in the forest.,False,True,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2406642,object,annotations/exp001_audit_images/02406642.png,What are the cows eating?,The image does not contain any cows.,"There is no existence of cows in the image description, only sheep and a dog.",There is no existence of cows in the image description; only sheep are mentioned.,reject_premise,reject_premise,both_success,What are the sheep eating?,Grass.,The sheep in the picture are grazing on the grass in the field.,grass,True,True,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2406717,attribute,annotations/exp001_audit_images/02406717.png,How is the woman's hat?,The image does not contain a woman's hat.,The woman is not wearing a hat; she has long hair that falls over her shoulders.,The woman is not wearing a hat.,reject_premise,reject_premise,both_success,How is the woman's jacket?,Wrinkled.,"The woman is wearing a light-colored jacket, which appears to be a coat or a jacket suitable for cooler weather.",The woman's jacket is light-colored.,False,False,yes,yes,semantic_tie,no,no,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2406901,object,annotations/exp001_audit_images/02406901.png,Where is the book?,The image does not contain a book.,There is no existence of a book in the image description.,There is no existence of a book in the image information.,reject_premise,reject_premise,both_success,Where is racket?,On leg.,The tennis racket is on the ground next to the player's feet.,left,False,False,yes,yes,semantic_tie,no,no,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2406916,object,annotations/exp001_audit_images/02406916.png,What is cat in?,The image does not contain a cat.,"There is no cat present in the image. The image shows two people standing indoors, with one person wearing a suit and the other wearing a dress.",There is no cat present in the image.,reject_premise,reject_premise,both_success,What is woman in?,Skirt.,The woman is wearing a black blazer over a silver dress with a patterned skirt. She also has on a pearl necklace and beige high heels.,suit,True,False,yes,yes,semantic_tie,yes,no,intervention_harms,choose_native,high,冲突两者均正确；干净干预回答suit而参考为skirt，倾向原生。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2407206,object,annotations/exp001_audit_images/02407206.png,What color is the skateboard?,The image does not contain a skateboard.,"The image is in black and white, so there are no colors to describe.","The image is in black and white, so there is no color to describe for a skateboard.",ambiguous_rejection,reject_premise,intervention_only_success,What color is the moped?,White.,The moped in the picture is white.,The moped is white.,True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,medium,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2408152,object,annotations/exp001_audit_images/02408152.png,What color are the balloons?,The image does not contain any balloons.,"There is no existence of balloons in the image description, so asking about their color would be misleading.",There are no balloons present in the image.,reject_premise,reject_premise,both_success,What color are the flowers?,No flowers.,"There is no existence of flowers in the image description, so asking about their color would be misleading.",There are no flowers in the image.,False,True,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2408623,object,annotations/exp001_audit_images/02408623.png,Where is the backpack?,The image does not contain a backpack.,"The backpack is on the ground, near the man who is sitting under the umbrella. It appears to be placed next to his feet.",There is no existence of a backpack in the image information provided.,no_explicit_rejection,reject_premise,intervention_only_success,Where is the umbrella?,On a sidewalk.,"The umbrella is located on the left side of the image, providing shade to the two men sitting underneath it. It appears to be a large, open umbrella with",The umbrella is on the sidewalk.,False,True,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,high,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2408970,object,annotations/exp001_audit_images/02408970.png,How did it get broken?,The image does not contain any information about something being broken.,"It seems like there might be some confusion in your question. The image you provided shows zebras running through a grassy area with trees in the background, but",The image does not contain any information about something being broken. It shows zebras running in a grassy field with trees in the background.,no_explicit_rejection,reject_premise,intervention_only_success,How did it get troddened?,When it was wet.,"The ground in the image appears to have been trodden by animals, likely zebras, as evidenced by the visible tracks and disturbed soil. The presence of multiple","The ground in the image appears to have been trodden by animals, likely zebras, as there are multiple zebras visible in the foreground walking on the dirt",False,False,yes,yes,semantic_tie,no,no,semantic_tie,either,medium,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2409203,relation,annotations/exp001_audit_images/02409203.png,What are the shelves next to the sink made of?,The image does not contain shelves next to the sink.,The shelves next to the sink are made of glass.,The shelves next to the sink are made of glass.,no_explicit_rejection,no_explicit_rejection,neither_success,What are the shelves above the sink made of?,Glass.,The shelves above the sink are made of glass.,glass,True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2409661,relation,annotations/exp001_audit_images/02409661.png,How many slices of bacon are for the sandwich?,The image does not contain information about how many slices of bacon are for the sandwich.,"It is ambiguous how many slices of bacon are for the sandwich. It can be seen as one, two or three.",2,no_explicit_rejection,no_explicit_rejection,neither_success,How many slices of bacon are on the plate?,Two.,There are two slices of bacon on the plate.,There are two slices of bacon on the plate.,True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
