image_id,conflict_type,image_file,conflict_question,conflict_answer,clean_question,clean_answer,key_component,key_component_relationships,key_component_attributes,conflict_is_real,conflict_answer_correct,clean_answer_correct,image_quality_ok,template_leakage,issue_type,notes,annotator,audit_date
2401170,attribute,annotations/exp001_audit_images/02401170.png,Where is a sign?,The image does not contain a sign in the context of your question.,Where is the sign?,On a pole.,the sign,,"[""the""]",,,,,,,,,
2401313,attribute,annotations/exp001_audit_images/02401313.png,What is metal in the room?,The image does not contain any metal in the room.,What is wood in the room?,Bench.,wood in the room,,"[""wood""]",,,,,,,,,
2401906,attribute,annotations/exp001_audit_images/02401906.png,What color is the text on the red sticker?,The image does not contain a red sticker.,What color is the text on the blue sticker?,White.,"color, text, blue sticker",,"[""blue""]",,,,,,,,,
2402123,attribute,annotations/exp001_audit_images/02402123.png,What is the bridge made of?,The image does not contain a bridge.,What is the street made of?,Bricks.,the street,,"[""the"", ""street""]",,,,,,,,,
2402704,attribute,annotations/exp001_audit_images/02402704.png,What is red and round?,The image does not contain anything red.,What is black and round?,Small table.,black and round,,"[""black""]",,,,,,,,,
2402785,attribute,annotations/exp001_audit_images/02402785.png,What color is the traffic light?,The image does not contain a traffic light.,What color is the street sign?,Green and white.,"color, street sign",,"[""street""]",,,,,,,,,
2403451,attribute,annotations/exp001_audit_images/02403451.png,How many black cows are in the photo?,The image does not contain any black cows.,How many brown cows are in the photo?,One.,brown cows,,"[""brown""]",,,,,,,,,
2403478,attribute,annotations/exp001_audit_images/02403478.png,What is round in shape?,The image does not contain anything that is round in shape.,What is black in color?,The desk.,black in color,,"[""black""]",,,,,,,,,
2403803,attribute,annotations/exp001_audit_images/02403803.png,What is the color of the ocean?,The image does not contain any information about the color of the ocean.,What is color is the sky?,Blue.,"color, sky",,"[""blue""]",,,,,,,,,
2404155,attribute,annotations/exp001_audit_images/02404155.png,What is the elderly woman standing on?,The image does not contain an elderly woman standing.,What is the elderly woman sitting on?,Couch.,the elderly woman sitting,,"[""sitting"", ""old""]",,,,,,,,,
2405435,attribute,annotations/exp001_audit_images/02405435.png,What color is the table?,The image does not contain a table.,What color is the chair?,Brown.,"color, chair",,"[""chair""]",,,,,,,,,
2405540,attribute,annotations/exp001_audit_images/02405540.png,How many wooden beams can be seen that are painted?,The image does not show any painted wooden beams.,How many wooden beams can be seen?,2.,wooden beams,,"[""brown""]",,,,,,,,,
2406717,attribute,annotations/exp001_audit_images/02406717.png,How is the woman's hat?,The image does not contain a woman's hat.,How is the woman's jacket?,Wrinkled.,the woman's jacket,,"[""the""]",,,,,,,,,
2407223,attribute,annotations/exp001_audit_images/02407223.png,What color hat is the woman wearing?,The image does not contain a woman wearing a hat.,What color hat is the man wearing?,Orange.,"color hat, man",,"[""man""]",,,,,,,,,
2407284,attribute,annotations/exp001_audit_images/02407284.png,What is sweet?,The image does not contain anything that is sweet.,What is blue?,Toothbrush.,blue,,"[""blue""]",,,,,,,,,
2410351,attribute,annotations/exp001_audit_images/02410351.png,What color is the sofa?,The image does not contain a sofa.,What color is the counter?,White.,"color, counter",,"[""counter""]",,,,,,,,,
2411302,attribute,annotations/exp001_audit_images/02411302.png,What is happening to the trees in the distance?,The image does not contain any trees in the distance.,What is happening to the grass in the distance?,It's being watered.,the grass in the distance,,"[""grass""]",,,,,,,,,
2412131,attribute,annotations/exp001_audit_images/02412131.png,Where are large waves?,The image does not contain large waves.,Where are small waves?,In ocean.,small waves,,"[""small""]",,,,,,,,,
2415132,attribute,annotations/exp001_audit_images/02415132.png,Where is the textured carpeting?,The image does not contain textured carpeting.,Where is the patterned carpeting?,In the reflection.,the patterned carpeting,,"[""patterned""]",,,,,,,,,
61595,object,annotations/exp001_audit_images/00061595.png,When was that photograph taken?,The image does not contain any specific date or time.,When was this taken?,Fall.,this,,,,,,,,,,,
150293,object,annotations/exp001_audit_images/00150293.png,How many boats can be seen?,The image does not contain any boats.,How many engines can be seen?,2.,engines,,,,,,,,,,,
150389,object,annotations/exp001_audit_images/00150389.png,Where was that photograph taken?,This image does not contain any indication of a specific location or landmark.,Where was this picture taken?,Under a clocktower.,this picture,,,,,,,,,,,
150505,object,annotations/exp001_audit_images/00150505.png,What is on the nightstand?,The image does not contain a nightstand.,What is on the coffee table?,Devices.,coffee table,,,,,,,,,,,
150552,object,annotations/exp001_audit_images/00150552.png,Where was the painting taken?,"The image does not contain a painting; instead, it features a photo.",Where was the photo taken?,In the library.,the photo,,,,,,,,,,,
285898,object,annotations/exp001_audit_images/00285898.png,Where was this sculpture created?,This image does not contain a sculpture.,Where was this picture taken?,Terminal.,this picture,,,,,,,,,,,
286073,object,annotations/exp001_audit_images/00286073.png,Where was that painting created?,The image does not contain a painting.,Where was this photo taken?,Train station.,this photo,,,,,,,,,,,
498012,object,annotations/exp001_audit_images/00498012.png,Where is this painting taken?,This image does not contain a painting.,Where is this photo taken?,At a picnic.,this photo,,,,,,,,,,,
498169,object,annotations/exp001_audit_images/00498169.png,Why are the bicycles lined up?,The image does not contain any bicycles.,Why are the suitcases lined up?,To be organized.,the suitcases,,,,,,,,,,,
713102,object,annotations/exp001_audit_images/00713102.png,Where does that take place?,"The image does not depict a specific location associated with the question ""Where does that take place?""",Where does this take place?,In front of building.,this,,,,,,,,,,,
713590,object,annotations/exp001_audit_images/00713590.png,Where does this event take place?,This image does not contain any specific event.,Where does this scene take place?,In a living room.,scene,,,,,,,,,,,
1159296,object,annotations/exp001_audit_images/01159296.png,Where is that painting?,The image does not depict a painting.,Where is this scene?,Kitchen.,this scene,,,,,,,,,,,
1159768,object,annotations/exp001_audit_images/01159768.png,Where is that location?,The image does not contain a specific geographical location.,Where is this scene?,At a truck show.,this scene,,,,,,,,,,,
1592318,object,annotations/exp001_audit_images/01592318.png,Where is that moment taken?,The image does not contain a specific moment or event.,Where is this scene taken?,Near the stagecoach bus.,this scene,,,,,,,,,,,
1592387,object,annotations/exp001_audit_images/01592387.png,Where is the painting taken?,The image does not contain a painting.,Where is the picture taken?,On a city's sidewalks.,the picture,,,,,,,,,,,
1592752,object,annotations/exp001_audit_images/01592752.png,Where was that painting taken?,The image does not contain a painting.,Where was this photo taken?,In a park.,this photo,,,,,,,,,,,
1593095,object,annotations/exp001_audit_images/01593095.png,Where is the sculpture located?,The image does not contain a sculpture.,Where is the picture taken?,Near donkey.,the picture,,,,,,,,,,,
2393697,object,annotations/exp001_audit_images/02393697.png,Who is looking at the painting?,The image does not contain any depiction of a painting being looked at.,Who is looking at the woman?,The people sitting down.,the woman,,,,,,,,,,,
2393717,object,annotations/exp001_audit_images/02393717.png,When is the dog sleeping?,The image does not contain a dog.,When is the man sleeping?,Daytime.,the man,,,,,,,,,,,
2393975,object,annotations/exp001_audit_images/02393975.png,What is audible?,"The image does not contain anything related to ""audible.""",What is visible?,Toilet.,visible,,,,,,,,,,,
2394188,object,annotations/exp001_audit_images/02394188.png,What shade of color is the letter X?,The image does not contain the letter X.,What shade of color is the letter N?,White.,"shade of color, letter N",,,,,,,,,,,
2394277,object,annotations/exp001_audit_images/02394277.png,What color is the cat?,The image does not contain a cat.,What color is the dog?,Black and white.,"color, dog",,,,,,,,,,,
2394280,object,annotations/exp001_audit_images/02394280.png,Who is in the car?,The image does not contain a car.,Who is on the bench?,A lady.,the bench,,,,,,,,,,,
2394297,object,annotations/exp001_audit_images/02394297.png,Where is this photo taken?,This image does not contain any specific location or identifiable landmark.,Where is this picture taken?,Ocean.,this picture,,,,,,,,,,,
2394735,object,annotations/exp001_audit_images/02394735.png,What are bridges for?,The image does not contain any bridges.,What are tracks for?,Train.,tracks,,,,,,,,,,,
2394766,object,annotations/exp001_audit_images/02394766.png,What else is glass?,The image does not contain any glass items.,What else is porcelain?,The sink.,porcelain,,,,,,,,,,,
2395543,object,annotations/exp001_audit_images/02395543.png,What separates the trees?,The image does not contain any trees.,What separates the cows?,Stalls.,What separates the cows,,,,,,,,,,,
2395592,object,annotations/exp001_audit_images/02395592.png,Where is the letter S?,The image does not contain the letter S.,Where is the letter O?,On the building.,the letter O,,,,,,,,,,,
2395656,object,annotations/exp001_audit_images/02395656.png,What is on the side panel?,The image does not contain a side panel.,What is on the wheels?,Skis.,the wheels,,,,,,,,,,,
2395894,object,annotations/exp001_audit_images/02395894.png,What is behind the fence?,The image does not contain a fence.,What is behind the horse?,Trees with green leaves.,behind the horse,,,,,,,,,,,
2395947,object,annotations/exp001_audit_images/02395947.png,Where is the painting taken?,The image does not contain a painting.,Where is the picture taken?,Africa.,the picture,,,,,,,,,,,
2396109,object,annotations/exp001_audit_images/02396109.png,Where is the fern?,The image does not contain a fern.,Where is the moss?,Covering the log.,the moss,,,,,,,,,,,
2396684,object,annotations/exp001_audit_images/02396684.png,What is the drink in?,The image does not contain any drinks.,What is the food in?,Trays.,the food,,,,,,,,,,,
2396792,object,annotations/exp001_audit_images/02396792.png,When did the cleaning crew leave?,The image does not contain any information about a cleaning crew leaving.,When did the kitchen staff leave?,When the restaurant closed.,the kitchen staff,,,,,,,,,,,
2396796,object,annotations/exp001_audit_images/02396796.png,What logo is on the girl's green backpack?,The image does not contain a girl's green backpack.,What logo is on the boy's red jacket?,The Adidas logo.,"logo, boy's red jacket",,,,,,,,,,,
2396984,object,annotations/exp001_audit_images/02396984.png,What shade of color is the letter P?,The image does not contain the letter P.,What shade of color is the letter O?,White.,shade of color,,,,,,,,,,,
2397041,object,annotations/exp001_audit_images/02397041.png,What is placed on the table?,The image does not contain anything placed on the table.,What is placed on the floor?,Bucket.,What is placed on the floor,,,,,,,,,,,
2397108,object,annotations/exp001_audit_images/02397108.png,What is the door made of?,The image does not contain a door.,What is the window made of?,Glass.,the window,,,,,,,,,,,
2397387,object,annotations/exp001_audit_images/02397387.png,What is that the head of?,"1. The image does not contain the phrase ""What is that the head of?""",What is this the head of?,Bear.,this the head,,,,,,,,,,,
2397927,object,annotations/exp001_audit_images/02397927.png,Where are the flowers?,The image does not contain any flowers.,Where are the palm trees?,By the buildings.,the palm trees,,,,,,,,,,,
2398402,object,annotations/exp001_audit_images/02398402.png,Where are the lions?,The image does not contain any lions.,Where are the bears?,On a shelf.,the bears,,,,,,,,,,,
2398588,object,annotations/exp001_audit_images/02398588.png,What is above the treetops?,The image does not contain any treetops.,What is above the clouds?,Dark blue patch sky.,What above the clouds,,,,,,,,,,,
2399473,object,annotations/exp001_audit_images/02399473.png,What color is the sky?,The image does not contain any elements related to the sky.,What color is the grass?,Green.,"color, grass",,,,,,,,,,,
2399562,object,annotations/exp001_audit_images/02399562.png,Where is the blue chair?,The image does not contain a blue chair.,Where is the red rug?,On ground.,the red rug,,,,,,,,,,,
2399944,object,annotations/exp001_audit_images/02399944.png,What is the book on?,The image does not contain a book.,What is the paper on?,The table.,the paper,,,,,,,,,,,
2399978,object,annotations/exp001_audit_images/02399978.png,What color are the birds?,The image does not contain any birds.,What color are the sheep?,White.,"color, sheep",,,,,,,,,,,
2399999,object,annotations/exp001_audit_images/02399999.png,How many doors are shown?,The image does not contain any doors.,How many windows are shown?,11.,windows,,,,,,,,,,,
2400254,object,annotations/exp001_audit_images/02400254.png,Who is john talking to?,The image does not show who John is talking to.,Who is john looking at?,At the camera.,john,,,,,,,,,,,
2400299,object,annotations/exp001_audit_images/02400299.png,What company owns the engine?,1. The image does not contain any information about an engine.,What company owns the plane?,Delta.,company,,,,,,,,,,,
2400605,object,annotations/exp001_audit_images/02400605.png,What object is next to the tree?,The image does not contain a tree.,What vehicle is next to the bus?,White sedan.,vehicle,,,,,,,,,,,
2400622,object,annotations/exp001_audit_images/02400622.png,How many lions are shown in the lion?,The image does not contain any lions.,How many zebras are shown in the zebra?,2.,many zebras,,,,,,,,,,,
2400828,object,annotations/exp001_audit_images/02400828.png,Where was that taken?,1. The image does not contain any specific location or landmark that can identify a place.,Where was this taken?,A kitchen.,this,,,,,,,,,,,
2401084,object,annotations/exp001_audit_images/02401084.png,What time was this?,The image does not contain any information about a specific time.,What season was this?,Winter.,season,,,,,,,,,,,
2401202,object,annotations/exp001_audit_images/02401202.png,Where are the trees?,The image does not contain any trees.,Where are the buildings?,Left side of the train.,the buildings,,,,,,,,,,,
2401400,object,annotations/exp001_audit_images/02401400.png,What are the elephants doing?,The image does not contain any elephants.,What are the giraffes doing?,Standing.,giraffes,,,,,,,,,,,
2401531,object,annotations/exp001_audit_images/02401531.png,What season is the book taken during?,The image does not contain any information about a book or its season.,What season is the picture taken during?,Winter.,"season, picture",,,,,,,,,,,
2401710,object,annotations/exp001_audit_images/02401710.png,How many cars are pictured?,The image does not contain any cars.,How many people are pictured?,Just 1.,many people,,,,,,,,,,,
2401730,object,annotations/exp001_audit_images/02401730.png,What is in the woman's hands?,The image does not contain the woman's hands.,What is in the man's hands?,A surfboard.,the man's hands,,,,,,,,,,,
2401785,object,annotations/exp001_audit_images/02401785.png,What is on the shelf?,The image does not contain a shelf.,What is on the table?,A round plate with a piece of cake.,table,,,,,,,,,,,
2401807,object,annotations/exp001_audit_images/02401807.png,What laptop brand does this person use?,The image does not contain any information about a laptop brand.,What cell phone carrier does this person use?,T Mobile.,cell phone carrier,,,,,,,,,,,
2401850,object,annotations/exp001_audit_images/02401850.png,What are the pillars?,The image does not contain any pillars.,What are the spires?,On the castle.,the spires,,,,,,,,,,,
2401929,object,annotations/exp001_audit_images/02401929.png,What is captured?,"The image does not contain any objects or content related to ""What is captured.""",What is pictured?,A toy bear.,What is pictured,,,,,,,,,,,
2402350,object,annotations/exp001_audit_images/02402350.png,Where is the book?,The image does not contain a book.,Where is the food?,On a metal rack.,the food,,,,,,,,,,,
2402401,object,annotations/exp001_audit_images/02402401.png,How is the mood?,The image does not contain any information about mood or emotions.,How is the weather?,Overcast.,the weather,,,,,,,,,,,
2402480,object,annotations/exp001_audit_images/02402480.png,How many books are there?,The image does not contain any books.,How many bikes are there?,1.,bikes,,,,,,,,,,,
2402507,object,annotations/exp001_audit_images/02402507.png,What is the dining table made of?,The image does not contain a dining table.,What is the kitchen sink made of?,Stainless steel.,kitchen sink,,,,,,,,,,,
2402519,object,annotations/exp001_audit_images/02402519.png,What color is the pitcher's glove?,The image does not contain a pitcher's glove.,What color is the batters hat?,Red.,"color, batters hat",,,,,,,,,,,
2402736,object,annotations/exp001_audit_images/02402736.png,What is the bus sitting on?,The image does not contain a bus.,What is the train sitting on?,Tracks.,the train,,,,,,,,,,,
2402985,object,annotations/exp001_audit_images/02402985.png,What's the color of the baseball?,1. The image does not contain a baseball.,What's the color of the catchers helmet?,Black.,"color, catchers helmet",,,,,,,,,,,
2403489,object,annotations/exp001_audit_images/02403489.png,What is the mountain?,The image does not contain a mountain.,What is the hole?,A broken window.,the hole,,,,,,,,,,,
2403518,object,annotations/exp001_audit_images/02403518.png,How is the cake flavored?,The image does not contain a cake.,How is the pie flavored?,Lemon.,the pie flavored,,,,,,,,,,,
2403696,object,annotations/exp001_audit_images/02403696.png,How many chairs are in the picture?,The image does not contain any chairs.,How many toilets are in the picture?,One.,"toilets, picture",,,,,,,,,,,
2403720,object,annotations/exp001_audit_images/02403720.png,Where is the dog standing?,The image does not contain a dog.,Where is the woman standing?,Ocean.,the woman,,,,,,,,,,,
2403767,object,annotations/exp001_audit_images/02403767.png,What length is the tree's trunk?,The image does not contain a tree or any tree trunk.,What length is the woman's hair?,Long.,"length, woman's hair",,,,,,,,,,,
2403882,object,annotations/exp001_audit_images/02403882.png,How are the flowers?,The image does not contain any flowers.,How are the trees?,Tall.,the trees,,,,,,,,,,,
2403954,object,annotations/exp001_audit_images/02403954.png,What's the shape of the cup?,The image does not contain a cup.,What's the shape of the plate?,Rectangular.,the shape of the plate,,,,,,,,,,,
2404116,object,annotations/exp001_audit_images/02404116.png,How is the lion touching the wooden log?,The image does not contain a lion.,How is the elephant touching the wooden log?,With its trunk.,the elephant touching the wooden log,,,,,,,,,,,
2404535,object,annotations/exp001_audit_images/02404535.png,What is in the ocean?,The image does not contain anything related to the ocean.,What is in the sky?,Clouds.,sky,,,,,,,,,,,
2405035,object,annotations/exp001_audit_images/02405035.png,How many trees are there?,There are no trees contained in the image.,How many birds are there?,5.,many birds,,,,,,,,,,,
2405342,object,annotations/exp001_audit_images/02405342.png,How many bicycles are on the road?,The image does not contain any bicycles.,How many trucks are on the road?,One.,trucks,,,,,,,,,,,
2405359,object,annotations/exp001_audit_images/02405359.png,What color is the sky?,The image does not contain the sky.,What color is the grass?,Green.,"color, grass",,,,,,,,,,,
2405454,object,annotations/exp001_audit_images/02405454.png,What does the shower head look like?,The image does not contain a shower head.,What does the sink basin look like?,A bowl.,sink basin,,,,,,,,,,,
2405568,object,annotations/exp001_audit_images/02405568.png,What is in the box?,The image does not contain a box.,What is in the vase?,Flowers.,the vase,,,,,,,,,,,
2405672,object,annotations/exp001_audit_images/02405672.png,What is in the foreground?,The image does not contain any objects in the foreground.,What is in the background?,Fence.,background,,,,,,,,,,,
2406133,object,annotations/exp001_audit_images/02406133.png,How many sides to the sculpture are there?,The image does not contain a sculpture.,How many sides to the building are there?,Four.,sides to the building,,,,,,,,,,,
2406242,object,annotations/exp001_audit_images/02406242.png,When was the book published?,The image does not contain information about when the book was published.,When was the picture taken?,Daytime.,the picture,,,,,,,,,,,
2406377,object,annotations/exp001_audit_images/02406377.png,When was this painting created?,This image does not contain a painting.,When was this photo taken?,This photo was taken in the daytime.,photo,,,,,,,,,,,
2406390,object,annotations/exp001_audit_images/02406390.png,Where is the fox?,The image does not contain a fox.,Where is the bear?,In the forest.,the bear,,,,,,,,,,,
2406642,object,annotations/exp001_audit_images/02406642.png,What are the cows eating?,The image does not contain any cows.,What are the sheep eating?,Grass.,the sheep,,,,,,,,,,,
2406740,object,annotations/exp001_audit_images/02406740.png,What bank is advertised on the wall?,"The image does not contain the phrase ""What bank is advertised on the wall?""",What bank is advertised in the dugout?,Bank of America.,"bank, advertised, dugout",,,,,,,,,,,
2406845,object,annotations/exp001_audit_images/02406845.png,What is on the table?,1. The image does not contain a table or any objects on it.,What is on the ground?,Snow.,"What, the ground",,,,,,,,,,,
2406901,object,annotations/exp001_audit_images/02406901.png,Where is the book?,The image does not contain a book.,Where is racket?,On leg.,racket,,,,,,,,,,,
2406916,object,annotations/exp001_audit_images/02406916.png,What is cat in?,The image does not contain a cat.,What is woman in?,Skirt.,woman,,,,,,,,,,,
2407023,object,annotations/exp001_audit_images/02407023.png,What color is the chair?,The image does not contain a chair.,What color is the clock?,Black and White.,"color, clock",,,,,,,,,,,
2407094,object,annotations/exp001_audit_images/02407094.png,What color is the bicycle?,The image does not contain a bicycle.,What color is the backpack?,Black?.,"color, backpack",,,,,,,,,,,
2407098,object,annotations/exp001_audit_images/02407098.png,What is behind the tree?,The image does not contain a tree.,What is behind the man?,Water.,behind the man,,,,,,,,,,,
2407113,object,annotations/exp001_audit_images/02407113.png,How many pairs of shoes can be seen?,The image does not contain any pairs of shoes.,How many pairs of glasses can be seen?,1.,pairs of glasses,,,,,,,,,,,
2407129,object,annotations/exp001_audit_images/02407129.png,What color is the woman's dress?,The image does not contain a woman's dress.,What color is the man's hair?,Brown.,"color, man's hair",,,,,,,,,,,
2407206,object,annotations/exp001_audit_images/02407206.png,What color is the skateboard?,The image does not contain a skateboard.,What color is the moped?,White.,"color, moped",,,,,,,,,,,
2407265,object,annotations/exp001_audit_images/02407265.png,What object shown?,The image does not contain any objects other than animals.,What animal shown?,Cow.,animal,,,,,,,,,,,
2407290,object,annotations/exp001_audit_images/02407290.png,What color is the icing on the cupcake?,The image does not contain a cupcake or icing.,What color is the sprinkles on the cookie?,Red and green.,"color, sprinkles, cookie",,,,,,,,,,,
2407368,object,annotations/exp001_audit_images/02407368.png,What color hat is the man wearing?,The image does not contain a hat.,What color shoes is the man wearing?,Blue.,"color shoes, man",,,,,,,,,,,
2407434,object,annotations/exp001_audit_images/02407434.png,What is the cat waiting for?,The image does not contain a cat.,What are the people waiting for?,Luggages.,the people,,,,,,,,,,,
2407590,object,annotations/exp001_audit_images/02407590.png,Where is the faucet located?,The image does not contain a faucet.,Where is the flusher located?,On top.,the flusher,,,,,,,,,,,
2407873,object,annotations/exp001_audit_images/02407873.png,How many trees are in the photo?,The image does not contain any trees.,How many rams are in the photo?,Five.,many rams,,,,,,,,,,,
2407990,object,annotations/exp001_audit_images/02407990.png,What is behind the wall and window?,The image does not contain a wall and window.,What is behind the fence and building?,Trees.,fence and building,,,,,,,,,,,
2408012,object,annotations/exp001_audit_images/02408012.png,Where do you see painting?,The image does not contain any painting.,Where do you see writing?,On the passenger door.,writing,,,,,,,,,,,
2408152,object,annotations/exp001_audit_images/02408152.png,What color are the balloons?,The image does not contain any balloons.,What color are the flowers?,No flowers.,"color, flowers",,,,,,,,,,,
2408244,object,annotations/exp001_audit_images/02408244.png,How many Words are on the woman's dress?,The image does not contain any words on the woman's dress.,How many Words are on the man's shirt?,Three.,"Words, man's shirt",,,,,,,,,,,
2408302,object,annotations/exp001_audit_images/02408302.png,What does this sandwich have on it?,1. The image does not contain a sandwich.,What does this toast have on it?,Egg.,toast,,,,,,,,,,,
2408338,object,annotations/exp001_audit_images/02408338.png,How many plates with cookies are on the table?,The image does not contain any plates with cookies.,How many plates with donuts are on the table?,Two.,plates with donuts,,,,,,,,,,,
2408457,object,annotations/exp001_audit_images/02408457.png,What color is the passenger's jacket?,The image does not contain a passenger's jacket.,What color is the driver's shirt?,White.,"color, driver's shirt",,,,,,,,,,,
2408623,object,annotations/exp001_audit_images/02408623.png,Where is the backpack?,The image does not contain a backpack.,Where is the umbrella?,On a sidewalk.,the umbrella,,,,,,,,,,,
2408643,object,annotations/exp001_audit_images/02408643.png,Who is in the painting?,The image does not contain a painting.,Who is in the photo?,No one.,photo,,,,,,,,,,,
2408970,object,annotations/exp001_audit_images/02408970.png,How did it get broken?,The image does not contain any information about something being broken.,How did it get troddened?,When it was wet.,get troddened,,,,,,,,,,,
2409312,object,annotations/exp001_audit_images/02409312.png,When was the painting created?,The image does not contain a painting.,When was the photo taken?,Daytime.,the photo,,,,,,,,,,,
2409364,object,annotations/exp001_audit_images/02409364.png,Where are the paintings hanging from?,The image does not contain any paintings.,Where are the lamps hanging from?,The wall.,the lamps,,,,,,,,,,,
2410068,object,annotations/exp001_audit_images/02410068.png,What is in the right corner?,The image does not contain anything in the right corner.,What is in the left corner?,A power cord.,the left corner,,,,,,,,,,,
2410151,object,annotations/exp001_audit_images/02410151.png,What is in the foreground?,1. The image does not contain any foreground objects as described in your question.,What is in the background?,Advertisement on red.,background,,,,,,,,,,,
2410175,object,annotations/exp001_audit_images/02410175.png,What is in the far ocean?,The image does not contain any features of an ocean.,What is in the far distance?,Trees with very tall trunks.,far distance,,,,,,,,,,,
2410258,object,annotations/exp001_audit_images/02410258.png,What is on the table?,The image does not contain anything on the table.,What is on the chair?,Pillow.,"What, chair",,,,,,,,,,,
2410268,object,annotations/exp001_audit_images/02410268.png,What color is the water?,The image does not contain any water.,What color is the grass?,Green.,"color, grass",,,,,,,,,,,
2410653,object,annotations/exp001_audit_images/02410653.png,What color are the curtains?,The image does not contain any curtains.,What color are the walls?,Tan.,"color, walls",,,,,,,,,,,
2411006,object,annotations/exp001_audit_images/02411006.png,What is the book sitting on?,The image does not contain a book.,What is the teddy bear sitting on?,Grass.,the teddy bear,,,,,,,,,,,
2411139,object,annotations/exp001_audit_images/02411139.png,What is the cat doing?,The image does not contain a cat.,What is the woman doing?,Sitting.,the woman,,,,,,,,,,,
2411226,object,annotations/exp001_audit_images/02411226.png,What is the car's exterior color?,"The image does not contain a car, so the question about the car's exterior color is not applicable.",What is the boat's roof color?,It's brown.,boat's roof color,,,,,,,,,,,
2411258,object,annotations/exp001_audit_images/02411258.png,What's the blue liquid in the cup?,The image does not contain a blue liquid in the cup.,What's the red liquid in the cup?,Red wine.,the red liquid,,,,,,,,,,,
2411972,object,annotations/exp001_audit_images/02411972.png,What type of drink is pictured?,This image does not contain a drink.,What type of food is pictured?,French fries.,type of food,,,,,,,,,,,
2413170,object,annotations/exp001_audit_images/02413170.png,What is in the foreground?,The image does not contain any objects in the foreground.,What is in the background?,The tall Hyatt building.,the background,,,,,,,,,,,
2414168,object,annotations/exp001_audit_images/02414168.png,What kind of paint job does the bicycle have?,The image does not contain a bicycle.,What kind of paint job does the motorcycle have?,Custom.,"kind of paint job, motorcycle",,,,,,,,,,,
2414982,object,annotations/exp001_audit_images/02414982.png,What is the chair made of?,The image does not contain a chair.,What is the place mat made of?,Cloth.,the place mat,,,,,,,,,,,
150288,relation,annotations/exp001_audit_images/00150288.png,What material is the batter's box made of?,The image does not contain information about the material of the batter's box.,What color is the batter's box?,White.,"color, batter's box","[""color""]",,,,,,,,,,
1591902,relation,annotations/exp001_audit_images/01591902.png,What event was this photo taken at?,This image does not contain information about a specific event.,Where was this picture taken?,At a beach.,this picture,"[""this"", ""picture""]",,,,,,,,,,
1592403,relation,annotations/exp001_audit_images/01592403.png,What was the event during which the photo was taken?,The image does not contain any information about a specific event.,Where was the photo taken?,On the sidewalk.,the photo,"[""on""]",,,,,,,,,,
